(60.010101, 40.094850)
(54.847830, 83.094392)
(80.765433, 10.588200)
(81.235467, 85.000563)
(10.010101, 20.094850)
(12.765456, 40.046526)
(50.653546, 45.034536)
(49.345666, 46.043566)
(45.345673, 33.011111)
(54.847830, 33.094392)
(32.000001, 11.023456)
(54.847830, 83.094392)
(80.765433, 10.588200)
(81.235467, 85.000563)
(10.010101, 20.094850)
(12.765456, 40.046526)
(50.653546, 45.034536)
(49.345666, 46.043566)
(45.345673, 33.011111)
(32.000001, 11.023456)
(12.345678, 90.123456)
(23.456789, 80.234567)
(34.567890, 70.345678)
(80.765433, 30.588200)
(70.235467, 35.000563)
(45.678901, 60.456789)
(56.789012, 50.567890)
(67.890123, 40.678901)
(78.901234, 30.789012)
(89.012345, 20.890123)
(90.123456, 10.901234)
(10.234567, 10.012345)
(11.345678, 99.876543)
(50.765456, 25.046526)

